Student_ID,Name,Score
1,Student_1,10
2,Student_2,18
3,Student_3,16
4,Student_4,14
5,Student_5,14
6,Student_6,19
7,Student_7,10
8,Student_8,17
9,Student_9,11
10,Student_10,10
11,Student_11,15
12,Student_12,20
13,Student_13,17
14,Student_14,18
15,Student_15,17
16,Student_16,18
17,Student_17,15
18,Student_18,10
19,Student_19,19
20,Student_20,14
21,Student_21,15
22,Student_22,13
23,Student_23,11
24,Student_24,20
25,Student_25,18
26,Student_26,16
27,Student_27,13
28,Student_28,18
29,Student_29,15
30,Student_30,14
