Title,Year,Rating,Revenue_Million,Runtime_Minutes,Votes
Movie_1,2017,6.8,71.56,133,268803
Movie_2,2013,6.7,78.96,84,25409
Movie_3,2011,6.5,69.1,110,140590
Movie_4,2018,6.9,126.04,123,862910
Movie_5,2024,8.4,175.62,177,379248
Movie_6,2011,6.3,96.95,180,436661
Movie_7,2023,8.0,170.08,95,423061
Movie_8,2023,5.6,74.92,170,705548
Movie_9,2014,6.8,71.48,89,63136
Movie_10,2020,7.2,94.86,155,79043
Movie_11,2012,7.6,126.86,165,251883
Movie_12,2022,7.7,139.65,169,440559
Movie_13,2021,7.8,129.63,102,605656
Movie_14,2015,6.8,106.81,170,444182
Movie_15,2011,6.7,103.32,91,399845
Movie_16,2025,7.9,211.22,132,844354
Movie_17,2017,6.9,126.07,127,149111
Movie_18,2024,6.0,65.85,111,516696
Movie_19,2020,6.1,78.07,82,490308
Movie_20,2022,6.3,60.48,157,428773
Movie_21,2022,7.5,134.8,113,727799
Movie_22,2013,7.2,113.73,146,243943
Movie_23,2015,7.7,181.41,121,858626
Movie_24,2017,6.7,80.64,117,301754
Movie_25,2017,7.2,110.1,169,492779
Movie_26,2010,7.7,99.52,89,471001
Movie_27,2018,6.8,120.1,154,765551
Movie_28,2012,7.5,107.98,155,397825
Movie_29,2021,6.5,74.9,118,259680
Movie_30,2020,6.8,66.07,106,24342
Movie_31,2024,6.8,97.16,80,330492
Movie_32,2021,6.0,62.22,174,744531
Movie_33,2015,7.5,79.36,175,13874
Movie_34,2025,6.7,160.16,104,807063
Movie_35,2016,7.1,95.09,83,490830
Movie_36,2015,7.5,92.51,92,130522
Movie_37,2024,7.5,153.37,86,275450
Movie_38,2015,7.7,192.12,163,500862
Movie_39,2011,7.0,82.39,170,287544
Movie_40,2017,6.7,76.05,95,102175
Movie_41,2022,7.0,127.04,155,601060
Movie_42,2013,5.6,103.32,98,606654
Movie_43,2017,5.8,33.93,117,111392
Movie_44,2012,5.9,58.85,140,256704
Movie_45,2020,6.2,85.9,152,223266
Movie_46,2017,7.5,145.89,168,595183
Movie_47,2015,6.3,92.82,84,658614
Movie_48,2013,6.8,114.52,99,655660
Movie_49,2019,8.3,155.21,108,845191
Movie_50,2020,6.8,114.71,111,692939
Movie_51,2025,7.8,126.93,180,292008
Movie_52,2016,6.3,72.81,158,101428
Movie_53,2012,6.9,104.84,112,555105
Movie_54,2023,6.2,113.81,178,824830
Movie_55,2020,6.8,147.49,130,877764
Movie_56,2021,7.9,133.52,130,211041
Movie_57,2011,5.5,53.37,123,216627
Movie_58,2014,7.5,108.09,94,38484
Movie_59,2022,7.3,105.3,174,131429
Movie_60,2023,6.6,88.38,81,501592
Movie_61,2016,5.8,78.66,97,494388
Movie_62,2022,7.2,111.47,103,336975
Movie_63,2023,6.6,126.87,108,282410
Movie_64,2016,7.3,167.86,93,747661
Movie_65,2024,7.1,121.1,81,416730
Movie_66,2014,8.5,166.73,148,728385
Movie_67,2013,6.9,112.15,177,867074
Movie_68,2020,6.2,96.99,92,288839
Movie_69,2020,7.3,113.09,109,186450
Movie_70,2012,7.3,154.3,131,857844
Movie_71,2023,8.3,133.44,173,573173
Movie_72,2013,7.9,150.44,150,265371
Movie_73,2022,7.4,140.88,157,561564
Movie_74,2010,8.4,142.4,138,465976
Movie_75,2022,6.0,89.32,122,815451
Movie_76,2022,6.5,87.75,100,234088
Movie_77,2022,6.3,113.52,167,892287
Movie_78,2020,6.7,118.56,161,842758
Movie_79,2017,5.9,56.4,82,166728
Movie_80,2021,7.7,115.93,152,152323
