title,genre,year,rating,votes,revenue
Inception,Sci-Fi,2010,8.8,2100000,839
Interstellar,Sci-Fi,2014,8.7,1900000,733
Parasite,Drama,2019,8.5,900000,258
Titanic,Romance,1997,7.9,1300000,2260
The Matrix,Sci-Fi,1999,8.7,2000000,467
Whiplash,Drama,2014,8.5,1000000,49
Joker,Drama,2019,8.3,1500000,1074
Avatar,Sci-Fi,2009,7.8,1400000,2923
Gladiator,Action,2000,8.5,1700000,465
The Dark Knight,Action,2008,9.0,2900000,1005
Coco,Animation,2017,8.4,800000,814
Get Out,Horror,2017,7.7,700000,255
Dune,Sci-Fi,2024,8.0,600000,715
La La Land,Romance,2016,8.0,900000,472
Oppenheimer,Drama,2023,8.6,1100000,976
